pointer, type, money, price, salary, sales, production, storage, workers, labor_capacity, plan, capital_investments, capital_capacity, raw_investments, raw_capacity, profit
0483B678, capital_firm, 1000, 0, 20, 0, 0, 0, 4, 4, 10, 0, 1.92, 0, 0, -80
04837EB0, raw_firm, 1000, 60, 40, 120, 2, 4.44089e-016, 2, 2, 10, 0, 1, 0, 0, 40
0483B7B8, good_firm, 1000, 43.2, 40, 216, 5, 0, 2, 2, 10, 40, 0.5, 60, 2, 72
0483B678, capital_firm, 1000, 105, 20, 128, 2, 0.780952, 4, 4, 10, 40, 1.92, 60, 4, -20
04837EB0, raw_firm, 1040, 14, 24, 66.4, 5.65714, 0.914286, 2, 2, 10, 48, 1, 0, 0, 13.6
0483B7B8, good_firm, 1072, 17.823, 43.2, 178.23, 10, 0, 2, 2, 10, 44.2004, 0.5, 28, 2, 59.41
0483B678, capital_firm, 980, 52.1841, 12.8, 58.5505, 3.5873, 3.24625, 4, 4, 9.21905, 57.6, 1.73257, 38.4, 4, -42.5695
04837EB0, raw_firm, 1053.6, 5.50672, 13.28, 22.6854, 9.08571, 5.88042, 2, 2, 9.08571, 67.9502, 0.885714, 0, 0, -10.6696
0483B7B8, good_firm, 1131.41, 12.9578, 35.646, 129.578, 10, 0, 2, 2, 10, 40.7978, 0.5, 11.0134, 2, 43.1926
0483B678, capital_firm, 937.431, 20.3489, 11.7101, 12.3559, 5.31389, 7.95294, 2, 2, 5.97279, 57.4185, 1.19347, 11.6719, 4, -34.2199
04837EB0, raw_firm, 1042.93, 3.08853, 9.07415, 6.17705, 7.37714, 11.2576, 1, 1, 3.20529, 61.1551, 0.275661, 0, 0, -9.01261
0483B7B8, good_firm, 1174.6, 9.25814, 25.9156, 92.5814, 10, 0, 2, 2, 10, 37.1274, 0.5, 6.17705, 2, 30.8605
0483B678, capital_firm, 903.211, 8.18892, 0, 2.36409, 5.97279, 13.637, 0, 0, 0, 47.8894, 1.19347, 0, 2, -7.2138
04837EB0, raw_firm, 1033.92, 3.08853, 0, 6.17705, 0, 9.25757, 0, 0, 0, 55.0396, 0.275661, 0, 0, 0.673089
0483B7B8, good_firm, 1205.46, 7.61857, 18.5163, 69.8369, 9.16667, 0, 2, 2, 9.16667, 33.4829, 0.458333, 6.17705, 2, 23.279
0483B678, capital_firm, 895.997, 8.18892, 0, 0.54106, 0, 13.571, 0, 0, 0, 38.7844, 1.19347, 0, 0, -7.21582
04837EB0, raw_firm, 1034.59, 3.08853, 0, 5.6623, 0, 7.42423, 0, 0, 0, 49.5357, 0.275661, 0, 0, 0.708731
0483B7B8, good_firm, 1228.74, 5.73889, 13.9674, 54.9977, 9.58333, 0, 2, 2, 9.58333, 30.6806, 0.479167, 5.6623, 2, 18.3326
0483B678, capital_firm, 888.781, 8.18892, 0, 0.65414, 0, 13.4911, 0, 0, 0, 31.1357, 1.19347, 0, 0, -5.573
04837EB0, raw_firm, 1035.3, 3.08853, 0, 5.91967, 0, 5.50757, 0, 0, 0, 44.5821, 0.275661, 0, 0, 1.46146
0483B7B8, good_firm, 1247.07, 4.77408, 10.9995, 46.0831, 9.65278, 0, 2, 2, 9.65278, 28.0333, 0.482639, 5.91967, 2, 15.361
0483B678, capital_firm, 883.208, 8.18892, 0, 0.551648, 0, 13.4237, 0, 0, 0, 25.0394, 1.19347, 0, 0, -4.45623
